,Trial,Hit/Miss,Peak Frequency,Lower Frequency Bound,Upper Frequency Bound,Frequency Span,Peak Time,Event Onset Time,Event Offset Time,Event Duration,Peak Power,Normalized Peak Power,Outlier Event,ob,obpres,contact,grip,event_name,window
2,0,23.884833333333333,16,14,19,5,0.127,0.024,0.223,0.199,2143.5647716953013,18.817808851016487,True,1,20.8223,24.728366666666666,2,go,"(-0.5, 0)"
3,0,23.884833333333333,19,16,24,8,0.289,0.001,0.378,0.377,1197.378987411353,8.8558477155133,True,1,20.8223,24.728366666666666,2,go,"(-0.5, 0)"
4,0,23.884833333333333,20,17,24,7,0.309,0.226,0.387,0.161,1184.0630020451165,9.096938065995243,True,1,20.8223,24.728366666666666,2,go,"(-0.5, 0)"
62,4,100.66563333333333,19,15,23,8,0.326,0.26,0.442,0.182,1204.699499376713,8.90999042208023,True,1,97.6031,101.5717,2,go,"(-0.5, 0)"
94,6,146.13406666666666,21,17,25,8,0.09,0.034,0.157,0.123,741.8201112763107,6.013197505363093,True,0,143.1029,146.77406666666667,3,go,"(-0.5, 0)"
122,8,177.6026,15,13,20,7,0.128,0.022,0.214,0.192,1567.4439093322749,17.25820965747696,True,1,174.54023333333333,178.14893333333333,2,go,"(-0.5, 0)"
151,10,221.91486666666665,20,17,24,7,0.097,0.021,0.195,0.174,1078.5876333553567,8.286590225718584,True,0,218.8676,222.4772,3,go,"(-0.5, 0)"
182,12,240.8835,18,15,22,7,0.189,0.115,0.293,0.178,1325.2443117010107,9.76484491102919,True,0,237.82106666666667,241.47706666666667,1,go,"(-0.5, 0)"
270,19,315.38306666666665,18,13,25,12,0.056,0.0,0.123,0.136,1194.1654345156198,8.799011746890352,True,0,312.32053333333334,315.9141333333333,1,go,"(-0.5, 0)"
305,21,343.67903333333334,15,12,18,6,0.219,0.142,0.324,0.182,1081.3700900244971,11.906334650863306,True,1,343.6480666666667,345.2264333333333,2,go,"(-0.5, 0)"
362,25,380.9757333333333,17,14,22,8,0.257,0.186,0.338,0.152,1065.508111206904,8.37711033207447,True,1,380.9447333333333,382.5695,2,go,"(-0.5, 0)"
363,25,380.9757333333333,18,14,24,10,0.245,0.175,0.321,0.146,1063.865600072881,7.838918831167518,True,1,380.9447333333333,382.5695,2,go,"(-0.5, 0)"
402,28,410.3661333333333,18,15,23,8,0.435,0.37,0.499,0.129,903.8288070255626,6.659714023142574,True,1,410.3351,411.7885333333333,1,go,"(-0.5, 0)"
414,29,416.16296666666665,17,13,22,9,0.169,0.102,0.234,0.132,2008.4183874383486,15.790346640797228,True,1,416.13193333333334,418.2880333333333,2,go,"(-0.5, 0)"
467,33,460.95956666666666,15,12,20,8,0.376,0.266,0.465,0.199,551.9758227932022,6.0774834869092835,True,1,460.92853333333335,462.4445,2,go,"(-0.5, 0)"
495,35,484.1000666666667,16,13,21,8,0.145,0.061,0.248,0.187,1249.1112197560396,10.965629066780734,True,0,484.0690333333333,485.22513333333336,3,go,"(-0.5, 0)"
510,36,493.00623333333334,29,25,35,10,0.055,0.006,0.103,0.097,1627.6100049503837,23.885199874455946,True,1,492.97523333333334,494.5688333333333,1,go,"(-0.5, 0)"
511,36,493.00623333333334,29,24,33,9,0.392,0.336,0.478,0.142,1106.4841974940052,16.237671269338847,True,1,492.97523333333334,494.5688333333333,1,go,"(-0.5, 0)"
624,44,590.6158333333333,16,14,19,5,0.109,0.016,0.236,0.22,2226.852596772945,19.548971441773404,True,0,587.5533333333333,591.1307666666667,1,go,"(-0.5, 0)"
636,45,602.4594666666667,21,17,25,8,0.303,0.215,0.377,0.162,744.8382680417315,6.037662699089639,True,1,599.3970666666667,603.0681666666667,1,go,"(-0.5, 0)"
649,46,611.1470666666667,18,15,22,7,0.14,0.048,0.275,0.227,1762.7220101158596,12.988327433713495,True,1,608.0844666666667,611.7244333333333,2,go,"(-0.5, 0)"
650,46,611.1470666666667,19,16,23,7,0.387,0.044,0.464,0.42,1419.1280958339303,10.495910181856338,True,1,608.0844666666667,611.7244333333333,2,go,"(-0.5, 0)"
667,47,623.3656333333333,23,19,27,8,0.218,0.135,0.286,0.151,629.7884835282991,6.317270216552732,True,0,620.3031,623.9278666666667,3,go,"(-0.5, 0)"
677,48,632.1469333333333,18,15,22,7,0.119,0.042,0.193,0.151,2094.529307519702,15.43319497314667,True,0,629.0843333333333,632.7555,3,go,"(-0.5, 0)"
695,49,640.9280333333334,16,13,20,7,0.113,0.033,0.195,0.162,786.4733332562415,6.904248962784063,True,0,637.8655,641.5367,1,go,"(-0.5, 0)"
697,49,640.9280333333334,28,24,33,9,0.134,0.078,0.196,0.118,1037.9062874732767,15.109936584043188,True,0,637.8655,641.5367,1,go,"(-0.5, 0)"
734,52,674.4277666666667,18,15,21,6,0.096,0.018,0.183,0.165,1690.151171728714,12.453601137847139,True,0,671.3653333333333,674.9740666666667,1,go,"(-0.5, 0)"
751,53,696.3027333333333,18,15,21,6,0.25,0.128,0.457,0.329,1038.8366922494486,7.654497437292934,True,1,693.2401666666667,696.9426666666667,2,go,"(-0.5, 0)"
752,53,696.3027333333333,18,16,21,5,0.367,0.124,0.46,0.336,987.3675443971368,7.2752554801359475,True,1,693.2401666666667,696.9426666666667,2,go,"(-0.5, 0)"
764,54,705.8963,19,15,23,8,0.09,0.023,0.17,0.147,828.1363024610338,6.124918726140693,True,1,702.8339,706.4273666666667,1,go,"(-0.5, 0)"
776,55,729.0212333333334,19,16,23,7,0.103,0.035,0.186,0.151,1742.2111392715826,12.885441201048573,True,0,725.9587333333334,729.5674,3,go,"(-0.5, 0)"
777,55,729.0212333333334,20,16,23,7,0.113,0.038,0.203,0.165,1745.2532482084798,13.408459415595035,True,0,725.9587333333334,729.5674,3,go,"(-0.5, 0)"
802,57,747.3335333333333,19,16,22,6,0.214,0.12,0.287,0.167,916.3179588218604,6.777112666608536,True,0,744.2711333333333,747.9271333333334,1,go,"(-0.5, 0)"
827,59,768.8334333333333,21,16,25,9,0.056,0.001,0.126,0.125,1173.8796694913185,9.515474429558058,True,1,765.771,769.4582333333333,2,go,"(-0.5, 0)"
888,63,813.7699333333334,19,16,22,6,0.31,0.149,0.403,0.254,845.2335567440334,6.251370486089305,True,0,813.7389,815.1137666666667,3,go,"(-0.5, 0)"
913,65,828.5667,17,14,20,6,0.213,0.131,0.336,0.205,917.965972911679,7.21712219296092,True,1,828.5357,830.2855666666667,2,go,"(-0.5, 0)"
978,70,871.8789666666667,20,17,25,8,0.301,0.139,0.367,0.228,841.3239033677509,6.463736667017466,True,1,871.8479,874.4888333333333,2,go,"(-0.5, 0)"
1017,73,897.3319333333334,15,11,18,7,0.312,0.23,0.396,0.166,881.354752378762,9.704082556705984,True,1,897.3009,898.832,1,go,"(-0.5, 0)"
1019,73,897.3319333333334,28,24,33,9,0.353,0.302,0.413,0.111,2603.3598152042055,37.89995511920892,True,1,897.3009,898.832,1,go,"(-0.5, 0)"
1020,73,897.3319333333334,29,24,34,10,0.345,0.293,0.4,0.107,2592.6017503315084,38.046467405083405,True,1,897.3009,898.832,1,go,"(-0.5, 0)"
1027,74,902.9569,17,11,21,10,0.222,0.147,0.322,0.175,843.9243347836294,6.635000888352888,True,1,902.9258666666667,904.3167666666667,2,go,"(-0.5, 0)"
1028,74,902.9569,18,15,22,7,0.197,0.104,0.271,0.167,858.1772443134251,6.323337985989118,True,1,902.9258666666667,904.3167666666667,2,go,"(-0.5, 0)"
1030,74,902.9569,19,16,23,7,0.177,0.087,0.241,0.154,880.2735571664318,6.510527286863927,True,1,902.9258666666667,904.3167666666667,2,go,"(-0.5, 0)"
1073,77,922.9567666666667,25,17,45,28,0.388,0.336,0.431,0.095,510.65758064971595,6.176217367578247,True,0,922.9257333333334,924.5041666666667,1,go,"(-0.5, 0)"
1113,80,958.6604,17,14,20,6,0.205,0.067,0.315,0.248,1209.4904538965857,9.509111072280758,True,1,955.6293,959.7379,1,go,"(-0.5, 0)"
1175,84,997.5352333333333,24,18,32,14,0.344,0.299,0.389,0.09,747.1742728416017,8.19300364889362,True,0,994.4727,998.0502,3,go,"(-0.5, 0)"
1232,88,1039.5663,19,16,23,7,0.266,0.182,0.353,0.171,874.7937277514894,6.469998318746126,True,0,1036.5037666666667,1040.4409666666666,1,go,"(-0.5, 0)"
1246,89,1051.5036333333333,19,15,23,8,0.058,0.0,0.132,0.15,1254.0987117166217,9.275348346637033,True,1,1048.4411,1052.0659,1,go,"(-0.5, 0)"
1293,92,1077.691,21,18,24,6,0.426,0.34,0.498,0.158,1054.3423301027224,8.546504162935681,True,1,1074.6284666666666,1078.1909333333333,1,go,"(-0.5, 0)"
1341,96,1116.2844333333333,23,14,35,21,0.031,0.0,0.072,0.084,704.7704874448856,7.069398260346038,True,0,1113.222,1116.9405333333334,3,go,"(-0.5, 0)"
1355,97,1125.3156333333334,20,16,24,8,0.163,0.105,0.224,0.119,1103.1193020379033,8.47506252007724,True,0,1122.2532666666666,1125.8619333333334,1,go,"(-0.5, 0)"
1366,98,1142.2218,17,14,20,6,0.103,0.027,0.19,0.163,951.2601165590883,7.478883423882347,True,1,1139.1593666666668,1142.8617666666667,2,go,"(-0.5, 0)"
1411,101,1221.7205666666666,17,14,22,8,0.2,0.121,0.325,0.204,862.0339915952962,6.777380464436544,True,1,1221.6895333333334,1223.0644,1,go,"(-0.5, 0)"
1412,101,1221.7205666666666,25,14,31,17,0.148,0.006,0.184,0.178,576.3566186169428,6.970823292766121,True,1,1221.6895333333334,1223.0644,1,go,"(-0.5, 0)"
1414,101,1221.7205666666666,27,23,33,10,0.046,0.002,0.186,0.184,543.9096562715561,7.5917651367620875,True,1,1221.6895333333334,1223.0644,1,go,"(-0.5, 0)"
1509,107,1417.2038333333333,15,12,18,6,0.163,0.067,0.255,0.188,857.5451235985072,9.441928636613634,True,1,1417.1727333333333,1418.3288333333333,1,go,"(-0.5, 0)"
1524,108,1456.9535333333333,16,13,19,6,0.305,0.216,0.404,0.188,1012.0399421952633,8.884440737828713,True,1,1456.9224666666667,1458.4536,1,go,"(-0.5, 0)"
1538,109,1463.6097333333332,17,15,21,6,0.257,0.159,0.386,0.227,1715.1823313649932,13.484901220690173,True,1,1463.5786666666668,1464.9071333333334,2,go,"(-0.5, 0)"
1539,109,1463.6097333333332,22,18,26,8,0.069,0.007,0.119,0.112,896.0179036882411,8.085942907863913,True,1,1463.5786666666668,1464.9071333333334,2,go,"(-0.5, 0)"
1552,110,1472.5002666666667,20,17,24,7,0.316,0.253,0.385,0.132,2126.700587560565,16.339049101727607,True,0,1472.4692666666667,1473.7664666666667,3,go,"(-0.5, 0)"
1637,116,1524.8124666666668,25,17,31,14,0.034,0.0,0.08,0.094,579.4465587481164,7.008194992758611,True,0,1524.7814,1525.8438,1,go,"(-0.5, 0)"
2,0,23.884833333333333,21,18,24,6,0.168,0.039,0.241,0.202,758.5662192515397,10.071992294716551,True,1,20.8223,24.728366666666666,2,go,"(0, 0.5)"
45,3,66.88453333333334,20,16,24,8,0.113,0.043,0.174,0.131,475.73615925821804,6.13321485873249,True,0,63.8221,67.49333333333334,3,go,"(0, 0.5)"
46,3,66.88453333333334,27,22,33,11,0.281,0.232,0.324,0.092,391.7658216697049,7.2824915597181645,True,0,63.8221,67.49333333333334,3,go,"(0, 0.5)"
55,4,100.66563333333333,19,16,22,6,0.316,0.19,0.402,0.212,871.0663289017527,11.588237571601361,True,1,97.6031,101.5717,2,go,"(0, 0.5)"
131,9,196.72756666666666,25,21,32,11,0.126,0.007,0.18,0.173,501.24755345600835,8.747418045010074,True,1,193.66503333333333,197.2586,1,go,"(0, 0.5)"
161,11,231.5086,15,9,19,10,0.154,0.082,0.215,0.133,453.8665344082428,8.870498589660523,True,0,228.44606666666667,231.99236666666667,3,go,"(0, 0.5)"
176,12,240.8835,17,14,20,6,0.139,0.051,0.22,0.169,394.04215408665414,6.267155406072596,True,0,237.82106666666667,241.47706666666667,1,go,"(0, 0.5)"
205,14,261.5709,23,18,27,9,0.07,0.015,0.125,0.11,621.7665535523898,9.679375982320991,True,1,258.5236,262.10196666666667,2,go,"(0, 0.5)"
237,16,282.6645,22,18,27,9,0.049,0.0,0.117,0.138,457.2084977617125,6.439099057552985,True,0,279.6333333333333,283.21073333333334,1,go,"(0, 0.5)"
269,18,306.47696666666667,27,22,31,9,0.434,0.376,0.48,0.104,508.86163604232286,9.459172711260429,True,0,303.4296,307.0079333333333,1,go,"(0, 0.5)"
300,20,337.5228333333333,16,13,19,6,0.067,0.0,0.168,0.204,549.2829259725513,9.69287016582664,True,1,337.49176666666665,339.1792,1,go,"(0, 0.5)"
339,23,359.1477,17,14,20,6,0.138,0.055,0.212,0.157,1174.7131123218514,18.68355848763645,True,0,359.1166333333333,360.42906666666664,3,go,"(0, 0.5)"
415,28,410.3661333333333,19,15,23,8,0.039,0.0,0.104,0.132,1343.7450473801753,17.87652251963067,True,1,410.3351,411.7885333333333,1,go,"(0, 0.5)"
454,31,432.4128666666667,16,13,19,6,0.139,0.028,0.236,0.208,1198.8640464728892,21.155643111178673,True,0,432.38183333333336,433.74153333333334,1,go,"(0, 0.5)"
466,32,441.116,18,14,22,8,0.146,0.085,0.216,0.131,854.0511441118717,11.906032851538603,True,1,441.0849,442.5696,1,go,"(0, 0.5)"
467,32,441.116,28,24,33,9,0.401,0.355,0.453,0.098,429.6304844736762,8.095953183039475,True,1,441.0849,442.5696,1,go,"(0, 0.5)"
522,36,493.00623333333334,19,15,22,7,0.089,0.023,0.163,0.14,777.0933230856883,10.338066969682874,True,1,492.97523333333334,494.5688333333333,1,go,"(0, 0.5)"
524,36,493.00623333333334,27,16,31,15,0.042,0.0,0.165,0.165,715.2264416425926,13.295265274418956,True,1,492.97523333333334,494.5688333333333,1,go,"(0, 0.5)"
525,36,493.00623333333334,29,25,35,10,0.128,0.0,0.171,0.088,578.3495399513565,10.935671018581358,True,1,492.97523333333334,494.5688333333333,1,go,"(0, 0.5)"
537,37,498.75623333333334,17,14,22,8,0.115,0.051,0.182,0.131,1056.9884309409906,16.811172841348498,True,1,498.72516666666667,499.95986666666664,1,go,"(0, 0.5)"
538,37,498.75623333333334,25,19,30,11,0.372,0.325,0.42,0.095,465.87065696210357,8.13004545010444,True,1,498.72516666666667,499.95986666666664,1,go,"(0, 0.5)"
596,41,559.991,26,21,32,11,0.088,0.038,0.147,0.109,477.19333153813693,8.551931142528703,True,1,556.9284666666666,560.8496666666666,2,go,"(0, 0.5)"
639,44,590.6158333333333,22,18,27,9,0.128,0.064,0.19,0.126,1201.1965581364923,16.917060079368213,True,0,587.5533333333333,591.1307666666667,1,go,"(0, 0.5)"
655,45,602.4594666666667,18,14,21,7,0.074,0.006,0.156,0.15,509.7578289189812,7.106358324418315,True,1,599.3970666666667,603.0681666666667,1,go,"(0, 0.5)"
720,49,640.9280333333334,18,15,21,6,0.115,0.024,0.25,0.226,434.0274626213854,6.050627370581993,True,0,637.8655,641.5367,1,go,"(0, 0.5)"
770,53,696.3027333333333,20,15,24,9,0.209,0.153,0.265,0.112,1059.9380763323952,13.664775806057003,True,1,693.2401666666667,696.9426666666667,2,go,"(0, 0.5)"
831,57,747.3335333333333,25,21,30,9,0.16,0.107,0.219,0.112,504.0421089258193,8.796186652010471,True,0,744.2711333333333,747.9271333333334,1,go,"(0, 0.5)"
845,58,759.1773,27,19,34,15,0.039,0.001,0.077,0.076,409.53653664761606,7.61282941636229,True,1,756.1147666666667,760.2395333333334,2,go,"(0, 0.5)"
857,59,768.8334333333333,20,16,24,8,0.278,0.204,0.347,0.143,1000.2010186485796,12.894642607910768,True,1,765.771,769.4582333333333,2,go,"(0, 0.5)"
858,59,768.8334333333333,24,17,30,13,0.039,0.0,0.08,0.084,424.50712944696454,7.049128622680733,True,1,765.771,769.4582333333333,2,go,"(0, 0.5)"
868,60,783.7701333333333,15,12,19,7,0.146,0.053,0.221,0.168,552.0151287366159,10.788743054858053,True,1,783.7392666666667,785.6613,1,go,"(0, 0.5)"
884,61,790.067,20,17,38,21,0.113,0.045,0.19,0.145,476.04151503785357,6.137151521036614,True,1,790.0359666666667,791.9107666666666,2,go,"(0, 0.5)"
898,62,807.4887666666667,23,19,27,8,0.205,0.113,0.266,0.153,392.4880716217862,6.110073937071774,True,0,807.4577666666667,809.5049,1,go,"(0, 0.5)"
911,63,813.7699333333334,17,14,22,8,0.118,0.041,0.182,0.141,540.5980820305267,8.598095805671166,True,0,813.7389,815.1137666666667,3,go,"(0, 0.5)"
928,64,822.3636333333334,25,20,30,10,0.047,0.0,0.092,0.092,353.9244497270684,6.176439359687629,True,1,822.3326,824.2235666666667,1,go,"(0, 0.5)"
929,64,822.3636333333334,29,25,35,10,0.176,0.037,0.225,0.188,345.595176639472,6.534655768301723,True,1,822.3326,824.2235666666667,1,go,"(0, 0.5)"
940,65,828.5667,15,12,19,7,0.097,0.02,0.17,0.15,1351.0239977777962,26.404803082718345,True,1,828.5357,830.2855666666667,2,go,"(0, 0.5)"
941,65,828.5667,29,24,35,11,0.393,0.344,0.437,0.093,328.01175992772824,6.202181291779396,True,1,828.5357,830.2855666666667,2,go,"(0, 0.5)"
942,65,828.5667,29,24,35,11,0.399,0.344,0.438,0.094,323.86029849751804,6.123683751259304,True,1,828.5357,830.2855666666667,2,go,"(0, 0.5)"
972,67,843.2385333333333,27,22,34,12,0.284,0.233,0.46,0.227,325.03346037669763,6.042011071131507,True,0,843.2075,844.5198333333333,3,go,"(0, 0.5)"
986,68,860.0821666666667,27,20,32,12,0.377,0.336,0.416,0.08,419.55647331058634,7.799088911552538,True,1,860.0511333333334,861.301,1,go,"(0, 0.5)"
998,69,865.5352333333333,16,14,20,6,0.289,0.044,0.399,0.355,460.08640104625823,8.11887196840828,True,1,865.5042,866.7389,1,go,"(0, 0.5)"
999,69,865.5352333333333,17,14,20,6,0.26,0.072,0.372,0.3,465.99736601534056,7.411587520142292,True,1,865.5042,866.7389,1,go,"(0, 0.5)"
1016,70,871.8789666666667,16,12,25,13,0.062,0.0,0.136,0.15,362.22512507141226,6.391972045919677,True,1,871.8479,874.4888333333333,2,go,"(0, 0.5)"
1030,71,881.5976333333333,18,14,21,7,0.065,0.0,0.142,0.142,445.5163606764679,6.210790141412347,True,0,881.5666333333334,883.6915,3,go,"(0, 0.5)"
1041,72,888.2695333333334,22,18,27,9,0.291,0.23,0.367,0.137,834.8876495291634,11.758146017766455,True,0,888.2384333333333,889.7383333333333,1,go,"(0, 0.5)"
1052,73,897.3319333333334,15,12,19,7,0.075,0.0,0.182,0.216,413.8656715739885,8.088710177304705,True,1,897.3009,898.832,1,go,"(0, 0.5)"
1121,78,931.7223333333334,16,13,22,9,0.066,0.0,0.142,0.154,442.83838136247863,7.814506390110926,True,1,931.6913,933.7385,1,go,"(0, 0.5)"
1125,78,931.7223333333334,27,23,37,14,0.371,0.308,0.423,0.115,467.0597631368433,8.68212231590659,True,1,931.6913,933.7385,1,go,"(0, 0.5)"
1149,80,958.6604,19,16,22,6,0.265,0.175,0.363,0.188,1130.6289386686824,15.041330736706694,True,1,955.6293,959.7379,1,go,"(0, 0.5)"
1181,82,976.2853,21,17,25,8,0.226,0.158,0.295,0.137,1038.6811479410524,13.791266013732905,True,1,973.2228666666666,976.9726333333333,2,go,"(0, 0.5)"
1229,85,1009.6288333333333,18,15,21,6,0.056,0.0,0.261,0.412,438.1390528978488,6.107945634530396,True,1,1006.5665333333334,1010.6286666666666,2,go,"(0, 0.5)"
1256,87,1030.7849666666666,26,22,32,10,0.274,0.222,0.378,0.156,392.3627314083722,7.031655390244525,True,0,1027.7225333333333,1031.3624666666667,3,go,"(0, 0.5)"
1267,88,1039.5663,21,15,28,13,0.026,0.0,0.084,0.118,756.6572587409553,10.04664574610212,True,0,1036.5037666666667,1040.4409666666666,1,go,"(0, 0.5)"
1317,92,1077.691,18,15,23,8,0.097,0.028,0.172,0.144,729.2230530363598,10.16584742659499,True,1,1074.6284666666666,1078.1909333333333,1,go,"(0, 0.5)"
1349,94,1098.1283666666666,20,16,24,8,0.123,0.035,0.189,0.154,696.915431072389,8.984669325530774,True,0,1095.0658333333333,1098.6593666666668,3,go,"(0, 0.5)"
1378,96,1116.2844333333333,18,14,21,7,0.174,0.096,0.246,0.15,719.1308383069425,10.02515533696823,True,0,1113.222,1116.9405333333334,3,go,"(0, 0.5)"
1380,96,1116.2844333333333,24,18,31,13,0.262,0.22,0.31,0.09,635.763752980879,10.557138284671236,True,0,1113.222,1116.9405333333334,3,go,"(0, 0.5)"
1381,96,1116.2844333333333,28,19,36,17,0.018,0.0,0.049,0.064,375.1390664967356,7.0691173677011045,True,0,1113.222,1116.9405333333334,3,go,"(0, 0.5)"
1397,97,1125.3156333333334,21,18,25,7,0.086,0.021,0.164,0.143,817.5151261310451,10.854696455281683,True,0,1122.2532666666666,1125.8619333333334,1,go,"(0, 0.5)"
1413,98,1142.2218,20,16,24,8,0.225,0.168,0.286,0.118,1091.0080450893272,14.065331429866415,True,1,1139.1593666666668,1142.8617666666667,2,go,"(0, 0.5)"
1425,99,1154.0967666666666,27,21,32,11,0.188,0.142,0.228,0.086,458.27854310597,8.51888918728319,True,0,1151.0342333333333,1154.7679,3,go,"(0, 0.5)"
1426,99,1154.0967666666666,28,24,34,10,0.467,0.37,0.499,0.196,347.9411832949906,6.556600688748834,True,0,1151.0342333333333,1154.7679,3,go,"(0, 0.5)"
1442,100,1215.9706333333334,20,16,23,7,0.143,0.079,0.203,0.124,521.4461515783952,6.722510413915404,True,1,1215.9396333333334,1217.1430333333333,1,go,"(0, 0.5)"
1456,101,1221.7205666666666,18,15,21,6,0.188,0.1,0.278,0.178,1466.735087606007,20.447248689891108,True,1,1221.6895333333334,1223.0644,1,go,"(0, 0.5)"
1466,102,1227.1111666666666,28,21,32,11,0.42,0.381,0.475,0.094,380.1574520336088,7.163683781932023,True,1,1227.0801666666666,1228.6898333333334,2,go,"(0, 0.5)"
1497,104,1264.8609333333334,17,14,22,8,0.148,0.073,0.222,0.149,811.6022394465012,12.908358432659474,True,0,1264.8299,1265.8146,3,go,"(0, 0.5)"
1531,106,1411.6256666666666,21,15,25,10,0.029,0.0,0.094,0.132,1174.6788393408083,15.59699854586319,True,1,1411.5946,1412.9855666666667,1,go,"(0, 0.5)"
1550,107,1417.2038333333333,29,24,34,10,0.078,0.001,0.124,0.123,358.23736800023653,6.773699523202781,True,1,1417.1727333333333,1418.3288333333333,1,go,"(0, 0.5)"
1564,108,1456.9535333333333,17,14,20,6,0.114,0.0,0.219,0.212,446.5340465493674,7.10202762522692,True,1,1456.9224666666667,1458.4536,1,go,"(0, 0.5)"
1567,108,1456.9535333333333,20,16,26,10,0.039,0.0,0.092,0.108,536.48441026077,6.916384412780692,True,1,1456.9224666666667,1458.4536,1,go,"(0, 0.5)"
1615,111,1484.1877666666667,27,22,33,11,0.155,0.104,0.193,0.089,374.2259249510451,6.956444358184437,True,0,1484.1566666666668,1485.6101,1,go,"(0, 0.5)"
1638,113,1502.3594666666668,16,13,20,7,0.082,0.009,0.152,0.143,409.22885109905764,7.221418934131928,True,0,1502.3284333333334,1503.7506333333333,1,go,"(0, 0.5)"
1655,114,1514.3125333333332,18,15,22,7,0.24,0.158,0.349,0.191,496.0761023626309,6.9156260866961,True,0,1514.2815666666668,1515.6563333333334,1,go,"(0, 0.5)"
1696,117,1536.9686666666666,16,12,20,8,0.06,0.0,0.12,0.122,353.90288962689453,6.24511449066193,True,0,1536.9377,1537.9999666666668,3,go,"(0, 0.5)"
